epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.12777,1.25687,4.24145,1.14396,0.01728,0.09583,0.01995,0.01177,1.27617,3.95132,1.13203,3.75e-05,3.75e-05,3.75e-05
2,8.58448,1.36381,3.66383,1.1764,0.4121,0.46059,0.3362,0.25952,0.92127,2.05218,0.93658,8.60563e-05,8.60563e-05,8.60563e-05
3,10.7206,0.98736,1.80391,0.93946,0.75526,0.68333,0.72214,0.5388,0.78346,1.59419,0.85803,0.000132962,0.000132962,0.000132962
4,12.7654,0.96109,1.3707,0.96042,0.78865,0.79725,0.84534,0.65199,0.85942,1.16272,0.86703,0.000178219,0.000178219,0.000178219
5,14.7991,0.87791,1.02322,0.91435,0.86919,0.83333,0.84457,0.6515,0.85508,0.97458,0.86619,0.000221825,0.000221825,0.000221825
6,16.612,0.90242,0.9235,0.91729,0.78958,0.85,0.83153,0.63475,0.82591,1.03873,0.86764,0.000263781,0.000263781,0.000263781
7,18.6812,0.88394,0.91649,0.90692,0.81914,0.80507,0.83829,0.65759,0.86931,1.00366,0.8757,0.000304088,0.000304088,0.000304088
8,21.3032,0.87981,0.83674,0.92237,0.82744,0.83465,0.84403,0.64826,0.8503,0.85273,0.87719,0.000342744,0.000342744,0.000342744
9,23.2996,0.84433,0.793,0.90609,0.69318,0.84906,0.81705,0.63157,0.90954,0.82116,0.89836,0.00037975,0.00037975,0.00037975
10,25.1118,0.80628,0.73219,0.88185,0.8683,0.77187,0.82614,0.62906,0.98026,0.82557,0.9036,0.000415106,0.000415106,0.000415106
11,26.9594,0.8276,0.71983,0.9271,0.92718,0.83883,0.87297,0.66546,0.90482,0.70229,0.89448,0.000448813,0.000448813,0.000448813
12,28.7872,0.85818,0.68011,0.9059,0.92213,0.84961,0.87455,0.68582,0.88405,0.58831,0.90944,0.000480869,0.000480869,0.000480869
13,30.7747,0.87468,0.67104,0.90414,0.89292,0.80464,0.85851,0.6615,0.92882,0.64861,0.92459,0.000511275,0.000511275,0.000511275
14,33.3674,0.78298,0.63952,0.86863,0.90107,0.80835,0.86608,0.68067,0.85856,0.60981,0.88057,0.000540031,0.000540031,0.000540031
15,35.4409,0.84765,0.64868,0.87527,0.8662,0.78831,0.88352,0.67863,0.88846,0.61736,0.89711,0.000567137,0.000567137,0.000567137
16,37.3676,0.82736,0.66943,0.87034,0.81472,0.8141,0.87859,0.67158,0.89728,0.64291,0.89828,0.000592594,0.000592594,0.000592594
17,39.1922,0.85413,0.68067,0.90661,0.82436,0.83359,0.8711,0.6936,0.82801,0.66258,0.86798,0.0006164,0.0006164,0.0006164
18,41.0941,0.81109,0.61315,0.86669,0.89628,0.83739,0.88988,0.69647,0.89863,0.65233,0.89035,0.000638556,0.000638556,0.000638556
19,42.917,0.83891,0.61336,0.90153,0.93517,0.77221,0.86348,0.6626,0.87037,0.60601,0.88531,0.000659063,0.000659063,0.000659063
20,44.9043,0.76396,0.58014,0.8635,0.87341,0.7641,0.8478,0.68505,0.83791,0.58717,0.87141,0.000677919,0.000677919,0.000677919
21,47.3967,0.82435,0.59108,0.88107,0.78111,0.78974,0.81114,0.6585,0.87983,0.62346,0.87349,0.000695125,0.000695125,0.000695125
22,49.2086,0.7558,0.54417,0.85935,0.82924,0.79102,0.83809,0.67369,0.84607,0.61971,0.86862,0.000710681,0.000710681,0.000710681
23,50.9599,0.77715,0.56528,0.87425,0.8893,0.79657,0.83929,0.67051,0.83483,0.56783,0.87019,0.000724588,0.000724588,0.000724588
24,52.6992,0.77595,0.53004,0.87555,0.8322,0.78333,0.85983,0.69719,0.82576,0.58059,0.87364,0.000736844,0.000736844,0.000736844
25,54.4737,0.74985,0.54817,0.87622,0.91674,0.85995,0.89193,0.69033,0.88845,0.54081,0.89167,0.00074745,0.00074745,0.00074745
26,56.2038,0.78016,0.53714,0.87978,0.96612,0.8594,0.89045,0.71435,0.85957,0.4738,0.88433,0.000734375,0.000734375,0.000734375
27,58.47,0.7871,0.53023,0.89305,0.93351,0.82344,0.89256,0.72994,0.78757,0.48043,0.86166,0.00071375,0.00071375,0.00071375
28,61.0397,0.71628,0.49828,0.86168,0.88775,0.82171,0.88485,0.74392,0.77181,0.52193,0.85619,0.000693125,0.000693125,0.000693125
29,62.852,0.75942,0.53659,0.88147,0.90125,0.84468,0.8895,0.72629,0.79602,0.51622,0.86286,0.0006725,0.0006725,0.0006725
30,64.6939,0.77364,0.53703,0.89245,0.96089,0.87445,0.89506,0.72918,0.8474,0.49019,0.86841,0.000651875,0.000651875,0.000651875
31,66.4471,0.74576,0.52107,0.86055,0.95864,0.87933,0.89807,0.71628,0.82153,0.49324,0.87099,0.00063125,0.00063125,0.00063125
32,68.2985,0.71531,0.50842,0.86249,0.92581,0.88962,0.89872,0.71973,0.80075,0.47998,0.86917,0.000610625,0.000610625,0.000610625
33,70.0651,0.73088,0.50152,0.88027,0.89512,0.88781,0.89541,0.73739,0.79831,0.4744,0.85398,0.00059,0.00059,0.00059
34,72.5621,0.73678,0.48975,0.85308,0.87556,0.88333,0.8932,0.73903,0.76961,0.47472,0.85649,0.000569375,0.000569375,0.000569375
35,74.579,0.71374,0.48573,0.84648,0.89019,0.85862,0.88961,0.71717,0.78789,0.45242,0.87206,0.00054875,0.00054875,0.00054875
36,76.3111,0.69496,0.45751,0.84581,0.89918,0.87966,0.8909,0.70355,0.80848,0.44872,0.87636,0.000528125,0.000528125,0.000528125
37,78.1027,0.69337,0.44944,0.85496,0.88345,0.88597,0.88905,0.71771,0.77492,0.47551,0.86288,0.0005075,0.0005075,0.0005075
38,79.8777,0.6473,0.45222,0.84958,0.92623,0.84328,0.88874,0.71609,0.77033,0.48619,0.85824,0.000486875,0.000486875,0.000486875
39,81.6996,0.64133,0.44051,0.84519,0.84675,0.84804,0.88643,0.71522,0.82139,0.51425,0.86738,0.00046625,0.00046625,0.00046625
40,83.4522,0.67541,0.44112,0.8453,0.90616,0.86048,0.8905,0.69738,0.81554,0.4894,0.86588,0.000445625,0.000445625,0.000445625
